pod_id,lr_no,cn_no,client_id,branch_id,uploaded_by,file_name,upload_dt,status
POD-0001,LR-8501,CN-90501,CUST-0090,BR-018,Gopal Kale,POD_8501.pdf,2026-08-20 08:00:00,Uploaded
POD-0002,LR-8502,CN-90502,CUST-0122,BR-017,Yogesh Jha,POD_8502.jpg,2026-07-22 06:00:00,Uploaded
POD-0003,LR-8503,CN-90503,CUST-0041,BR-006,Raghunath Jha,POD_8503.jpg,2026-08-03 04:00:00,Approved
POD-0004,LR-8504,CN-90504,CUST-0070,BR-011,Rajesh Malhotra,POD_8504.pdf,2026-08-24 04:00:00,Approved
POD-0005,LR-8505,CN-90505,CUST-0002,BR-014,Sanjay Kulkarni,POD_8505.jpg,2026-08-20 07:00:00,Approved
POD-0006,LR-8506,CN-90506,CUST-0090,BR-018,Mahesh Yadav,POD_8506.jpg,2026-07-18 12:00:00,Uploaded
POD-0007,LR-8507,CN-90507,CUST-0055,BR-010,Sanjay Kulkarni,POD_8507.jpg,2026-07-28 03:00:00,Approved
POD-0008,LR-8510,CN-90510,CUST-0166,BR-013,Mahesh Yadav,POD_8510.pdf,2026-08-12 07:00:00,Verified
POD-0009,LR-8511,CN-90511,CUST-0162,BR-018,Amardip Jain,POD_8511.pdf,2026-08-05 09:00:00,Approved
POD-0010,LR-8513,CN-90513,CUST-0127,BR-009,Gopal More,POD_8513.jpg,2026-07-18 09:00:00,Approved
POD-0011,LR-8514,CN-90514,CUST-0170,BR-014,Gopal More,POD_8514.pdf,2026-08-24 09:00:00,Approved
POD-0012,LR-8515,CN-90515,CUST-0123,BR-018,Manoj Jha,POD_8515.jpg,2026-08-09 03:00:00,Approved
POD-0013,LR-8516,CN-90516,CUST-0061,BR-011,Yogesh Jha,POD_8516.jpg,2026-08-07 04:00:00,Verified
POD-0014,LR-8517,CN-90517,CUST-0170,BR-014,Farida Chavan,POD_8517.jpg,2026-07-10 02:00:00,Approved
POD-0015,LR-8518,CN-90518,CUST-0134,BR-011,Imran Shaikh,POD_8518.jpg,2026-08-18 07:00:00,Uploaded
POD-0016,LR-8519,CN-90519,CUST-0160,BR-015,Sanjay Kulkarni,POD_8519.pdf,2026-08-13 07:00:00,Uploaded
POD-0017,LR-8520,CN-90520,CUST-0172,BR-013,Arif Sharma,POD_8520.pdf,2026-08-02 05:00:00,Uploaded
POD-0018,LR-8521,CN-90521,CUST-0209,BR-011,Santosh Pawar,POD_8521.jpg,2026-08-17 10:00:00,Verified
POD-0019,LR-8522,CN-90522,CUST-0070,BR-011,Vikram Khan,POD_8522.jpg,2026-08-23 07:00:00,Verified
POD-0020,LR-8523,CN-90523,CUST-0090,BR-018,Amardip Jain,POD_8523.jpg,2026-08-19 07:00:00,Approved
POD-0021,LR-8524,CN-90524,CUST-0049,BR-016,Nandini Gupta,POD_8524.jpg,2026-08-01 11:00:00,Approved
POD-0022,LR-8527,CN-90527,CUST-0140,BR-001,Vikram Khan,POD_8527.jpg,2026-07-27 09:00:00,Approved
POD-0023,LR-8528,CN-90528,CUST-0115,BR-010,Tarun Rathod,POD_8528.pdf,2026-08-08 08:00:00,Verified
POD-0024,LR-8529,CN-90529,CUST-0029,BR-017,Tarun Patel,POD_8529.pdf,2026-07-23 12:00:00,Uploaded
POD-0025,LR-8530,CN-90530,CUST-0054,BR-011,Rohit Wankhede,POD_8530.pdf,2026-07-09 05:00:00,Approved
POD-0026,LR-8531,CN-90531,CUST-0070,BR-011,Lata Sai,POD_8531.jpg,2026-08-14 09:00:00,Uploaded
POD-0027,LR-8532,CN-90532,CUST-0097,BR-001,Ramesh Yadav,POD_8532.pdf,2026-08-15 06:00:00,Approved
POD-0028,LR-8533,CN-90533,CUST-0177,BR-005,Yogesh Jha,POD_8533.jpg,2026-07-31 04:00:00,Uploaded
POD-0029,LR-8534,CN-90534,CUST-0089,BR-017,Vikram Gupta,POD_8534.jpg,2026-08-23 03:00:00,Approved
POD-0030,LR-8535,CN-90535,CUST-0205,BR-001,Neha Deshmukh,POD_8535.jpg,2026-08-18 06:00:00,Approved
POD-0031,LR-8536,CN-90536,CUST-0055,BR-010,Gopal Kale,POD_8536.jpg,2026-08-08 09:00:00,Verified
POD-0032,LR-8537,CN-90537,CUST-0140,BR-001,Imran Singh,POD_8537.jpg,2026-08-19 01:00:00,Verified
POD-0033,LR-8538,CN-90538,CUST-0210,BR-005,Prakash Singh,POD_8538.pdf,2026-08-22 08:00:00,Verified
POD-0034,LR-8539,CN-90539,CUST-0038,BR-005,Prakash Singh,POD_8539.pdf,2026-08-15 11:00:00,Approved
POD-0035,LR-8540,CN-90540,CUST-0105,BR-001,Yogesh Kale,POD_8540.jpg,2026-07-21 02:00:00,Approved
POD-0036,LR-8541,CN-90541,CUST-0024,BR-015,Rajesh Nair,POD_8541.jpg,2026-07-15 05:00:00,Approved
POD-0037,LR-8542,CN-90542,CUST-0050,BR-014,Sameer Verma,POD_8542.jpg,2026-07-27 05:00:00,Verified
POD-0038,LR-8544,CN-90544,CUST-0162,BR-018,Suresh Khan,POD_8544.pdf,2026-07-16 12:00:00,Verified
POD-0039,LR-8545,CN-90545,CUST-0162,BR-018,Vikram Khan,POD_8545.jpg,2026-08-22 04:00:00,Approved
POD-0040,LR-8546,CN-90546,CUST-0077,BR-002,Vikram Khan,POD_8546.pdf,2026-08-14 12:00:00,Approved
POD-0041,LR-8547,CN-90547,CUST-0036,BR-008,Sanjay Joshi,POD_8547.pdf,2026-08-29 05:00:00,Approved
POD-0042,LR-8548,CN-90548,CUST-0040,BR-013,Pooja Kulkarni,POD_8548.pdf,2026-08-09 11:00:00,Approved
