user_id,name,email,password_hash,role,branch_id,department,mobile,cross_branch,client_id,vendor_id,status
USR-0001,Amardip Singh,amardip.singh@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Super Admin,BR-001,Management,+91 98883 78442,TRUE,,,Active
USR-0002,Vikram Chauhan,vikram.chauhan@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-018,Operations,+91 98949 34466,FALSE,,,Active
USR-0003,Rohit Kulkarni,rohit.kulkarni@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-001,Operations,+91 98871 35577,FALSE,,,Active
USR-0004,Neha Agrawal,neha.agrawal@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-007,Operations,+91 98484 80458,FALSE,,,Active
USR-0005,Devendra Sahu,devendra.sahu@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-015,Operations,+91 98073 16750,FALSE,,,Active
USR-0006,Kavita Sharma,kavita.sharma@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-001,Operations,+91 98794 19193,FALSE,,,Active
USR-0007,Suresh Khan,suresh.khan@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-015,Operations,+91 98923 55624,FALSE,,,Suspended
USR-0008,Poonam Jain,poonam.jain@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-017,Operations,+91 98073 20484,FALSE,,,Active
USR-0009,Rahul Kulkarni,rahul.kulkarni@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-006,Operations,+91 98597 53628,FALSE,,,Active
USR-0010,Bhavna Sai,bhavna.sai@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-012,Operations,+91 98878 45965,FALSE,,,Suspended
USR-0011,Anil Patel,anil.patel@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-010,Operations,+91 98390 99433,FALSE,,,Active
USR-0012,Arif Chavan,arif.chavan@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-002,Operations,+91 98932 46617,FALSE,,,Suspended
USR-0013,Gopal Jain,gopal.jain@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-005,Operations,+91 98158 63187,FALSE,,,Active
USR-0014,Ganesh Chavan,ganesh.chavan@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-015,Operations,+91 98554 90318,FALSE,,,Active
USR-0015,Snehal Sahu,snehal.sahu@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-016,Operations,+91 98470 32202,FALSE,,,Suspended
USR-0016,Poonam More,poonam.more@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-002,Operations,+91 98786 84846,FALSE,,,Active
USR-0017,Jitendra Singh,jitendra.singh@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-001,Operations,+91 98467 71530,FALSE,,,Suspended
USR-0018,Arun Pawar,arun.pawar@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Branch Admin,BR-003,Operations,+91 98868 42468,FALSE,,,Active
USR-0019,Shalini Wankhede,shalini.wankhede@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-014,Operations,+91 98234 22973,FALSE,,,Active
USR-0020,Ganesh Kulkarni,ganesh.kulkarni@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-017,Operations,+91 98781 87613,FALSE,,,Active
USR-0021,Lata Chauhan,lata.chauhan@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-012,Operations,+91 98228 98436,FALSE,,,Suspended
USR-0022,Ganesh Shaikh,ganesh.shaikh@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-004,Operations,+91 98796 35106,FALSE,,,Active
USR-0023,Manoj Khan,manoj.khan@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-013,Operations,+91 98926 78028,FALSE,,,Active
USR-0024,Alok Deshmukh,alok.deshmukh@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-008,Operations,+91 98043 96062,FALSE,,,Active
USR-0025,Sunita Joshi,sunita.joshi@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-013,Operations,+91 98666 10837,FALSE,,,Active
USR-0026,Yogesh Bhosale,yogesh.bhosale@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-004,Operations,+91 98907 77595,FALSE,,,Active
USR-0027,Vikas Kulkarni,vikas.kulkarni@amardiptms.in,$2a$12$/ZHbS6mY4PlIDodx6.4.V.ds2l0T7dEqcd4IbPp8.4EJXXaFoTfE.,Operations Manager,BR-012,Operations,+91 98285 87790,FALSE,,,Active
